"providerId","utcStartTime","status","compSeason.shortName","round.name","round.roundNumber","venue.name","home.team.name","home.team.club.name","away.team.name","away.team.club.name","player.jumperNumber","player.photoURL","player.player.position","player.player.player.playerId","player.player.player.captain","player.player.player.playerJumperNumber","player.player.player.givenName","player.player.player.surname","teamId","gamesPlayed","timeOnGroundPercentage","goals","behinds","superGoals","kicks","handballs","disposals","marks","bounces","tackles","contestedPossessions","uncontestedPossessions","totalPossessions","inside50s","marksInside50","contestedMarks","hitouts","onePercenters","disposalEfficiency","clangers","freesFor","freesAgainst","dreamTeamPoints","rebound50s","goalAssists","goalAccuracy","ratingPoints","ranking","lastUpdated","turnovers","intercepts","tacklesInside50","shotsAtGoal","goalEfficiency","shotEfficiency","interchangeCounts","scoreInvolvements","metresGained","clearances.centreClearances","clearances.stoppageClearances","clearances.totalClearances","extendedStats.effectiveKicks","extendedStats.kickEfficiency","extendedStats.kickToHandballRatio","extendedStats.effectiveDisposals","extendedStats.marksOnLead","extendedStats.interceptMarks","extendedStats.contestedPossessionRate","extendedStats.hitoutsToAdvantage","extendedStats.hitoutWinPercentage","extendedStats.hitoutToAdvantageRate","extendedStats.groundBallGets","extendedStats.f50GroundBallGets","extendedStats.scoreLaunches","extendedStats.pressureActs","extendedStats.defHalfPressureActs","extendedStats.spoils","extendedStats.ruckContests","extendedStats.contestDefOneOnOnes","extendedStats.contestDefLosses","extendedStats.contestDefLossPercentage","extendedStats.contestOffOneOnOnes","extendedStats.contestOffWins","extendedStats.contestOffWinsPercentage","extendedStats.centreBounceAttendances","extendedStats.kickins","extendedStats.kickinsPlayon","player.playerId","player.captain","player.playerJumperNumber","player.givenName","player.surname","teamStatus","extendedStats","team.name","match_date","match_year","match_year_round","player.fullName"
"CD_M20160140103","2016-03-26T05:35:00.000+0000","CONCLUDED","Premiership","Round 1",1,"People First Stadium","Gold Coast SUNS","Gold Coast SUNS","Essendon","Essendon",13,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2016014/298437.png?im=Scale,width=0.6,height=0.6","INT","CD_I298437",FALSE,13,"Callum","Ah Chee","CD_T1000",NA,74,1,1,NA,4,4,8,1,0,5,6,2,8,0,1,0,0,2,75,1,1,0,51,0,0,50,10,NA,"2018-01-23T22:36:23.391+0000",1,2,2,2,NA,NA,NA,4,102,0,0,0,3,75,1,6,0,0,75,0,0,0,5,4,1,18,2,2,0,0,0,0,2,1,50,NA,NA,NA,"CD_I298437",FALSE,13,"Callum","Ah Chee","home",NA,"Gold Coast SUNS",2016-03-26,2016,201601,"Callum Ah Chee"
"CD_M20160140103","2016-03-26T05:35:00.000+0000","CONCLUDED","Premiership","Round 1",1,"People First Stadium","Gold Coast SUNS","Gold Coast SUNS","Essendon","Essendon",12,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2016014/291753.png?im=Scale,width=0.6,height=0.6","FF","CD_I291753",FALSE,12,"Sam","Day","CD_T1000",NA,95,2,0,NA,7,8,15,4,0,2,7,8,15,3,2,1,2,4,93.3,3,3,2,68,0,2,100,14.7,NA,"2018-01-23T22:36:23.391+0000",3,2,1,2,NA,NA,NA,9,173,0,1,1,7,100,0.9,14,0,0,46.7,0,14.3,0,2,0,2,10,1,2,14,1,0,0,1,1,100,NA,NA,NA,"CD_I291753",FALSE,12,"Sam","Day","home",NA,"Gold Coast SUNS",2016-03-26,2016,201601,"Sam Day"
"CD_M20160140106","2016-03-27T02:10:00.000+0000","CONCLUDED","Premiership","Round 1",1,"Marvel Stadium","Western Bulldogs","Western Bulldogs","Fremantle","Fremantle",20,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2016014/993834.png?im=Scale,width=0.6,height=0.6","INT","CD_I993834",FALSE,20,"Josh","Dunkley","CD_T140",NA,71,1,1,NA,8,7,15,4,0,4,4,11,15,0,1,1,1,0,66.7,3,0,1,71,0,1,33.3,2,NA,"2018-01-23T22:34:59.169+0000",3,0,1,3,NA,NA,NA,6,133,0,0,0,4,50,1.1,10,0,0,26.7,0,0,0,3,1,0,10,2,0,0,1,1,100,1,1,100,NA,NA,NA,"CD_I993834",FALSE,20,"Josh","Dunkley","home",NA,"Western Bulldogs",2016-03-27,2016,201601,"Josh Dunkley"
"CD_M20160140106","2016-03-27T02:10:00.000+0000","CONCLUDED","Premiership","Round 1",1,"Marvel Stadium","Western Bulldogs","Western Bulldogs","Fremantle","Fremantle",27,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2016014/293535.png?im=Scale,width=0.6,height=0.6","INT","CD_I293535",FALSE,27,"Lachie","Neale","CD_T60",NA,71,0,0,NA,13,19,32,4,0,4,13,18,31,1,0,0,0,0,78.1,2,1,0,106,4,0,0,15.5,NA,"2018-01-23T22:34:59.169+0000",4,6,0,0,NA,NA,NA,4,293,3,3,6,7,53.8,0.7,25,0,0,41.9,0,0,0,12,1,1,27,18,0,0,0,0,0,0,0,0,NA,NA,NA,"CD_I293535",FALSE,27,"Lachie","Neale","away",NA,"Fremantle",2016-03-27,2016,201601,"Lachie Neale"
"CD_M20160140107","2016-03-27T08:40:00.000+0000","CONCLUDED","Premiership","Round 1",1,"Domain Stadium","West Coast Eagles","West Coast Eagles","Brisbane Lions","Brisbane Lions",35,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2016014/291548.png?im=Scale,width=0.6,height=0.6","WL","CD_I291548",FALSE,35,"Ryan","Lester","CD_T20",NA,85,0,0,NA,8,7,15,2,0,2,6,10,16,1,0,0,0,3,100,3,1,3,44,1,3,0,18.4,NA,"2018-01-23T22:36:39.348+0000",2,3,0,0,NA,NA,NA,8,181,0,1,1,8,100,1.1,15,0,0,37.5,0,0,0,4,0,2,14,8,0,0,0,0,0,2,1,50,NA,NA,NA,"CD_I291548",FALSE,35,"Ryan","Lester","away",NA,"Brisbane Lions",2016-03-27,2016,201601,"Ryan Lester"
"CD_M20160140107","2016-03-27T08:40:00.000+0000","CONCLUDED","Premiership","Round 1",1,"Domain Stadium","West Coast Eagles","West Coast Eagles","Brisbane Lions","Brisbane Lions",31,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2016014/996059.png?im=Scale,width=0.6,height=0.6","CHB","CD_I996059",FALSE,31,"Harris","Andrews","CD_T20",NA,96,0,0,NA,3,3,6,2,0,3,4,2,6,1,0,0,1,9,50,2,1,1,32,2,0,0,2,NA,"2018-01-23T22:36:39.348+0000",3,3,0,0,NA,NA,NA,0,108,0,0,0,2,66.7,1,3,0,1,66.7,0,100,0,3,0,0,11,8,9,1,5,2,40,0,0,0,NA,NA,NA,"CD_I996059",FALSE,31,"Harris","Andrews","away",NA,"Brisbane Lions",2016-03-27,2016,201601,"Harris Andrews"
"CD_M20160140203","2016-04-02T05:35:00.000+0000","CONCLUDED","Premiership","Round 2",2,"Gabba","Brisbane Lions","Brisbane Lions","North Melbourne","North Melbourne",35,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2016014/291548.png?im=Scale,width=0.6,height=0.6","INT","CD_I291548",FALSE,35,"Ryan","Lester","CD_T20",NA,74,1,1,NA,3,8,11,3,0,0,5,6,11,1,1,0,0,1,81.8,1,1,0,42,0,0,50,3.7,NA,"2018-01-23T22:37:00.512+0000",1,2,0,2,NA,NA,NA,6,95,0,1,1,2,66.7,0.4,9,1,0,45.5,0,0,0,3,2,1,8,3,0,1,0,0,0,3,1,33.3,NA,NA,NA,"CD_I291548",FALSE,35,"Ryan","Lester","home",NA,"Brisbane Lions",2016-04-02,2016,201602,"Ryan Lester"
"CD_M20160140203","2016-04-02T05:35:00.000+0000","CONCLUDED","Premiership","Round 2",2,"Gabba","Brisbane Lions","Brisbane Lions","North Melbourne","North Melbourne",15,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2016014/261224.png?im=Scale,width=0.6,height=0.6","RR","CD_I261224",FALSE,15,"Dayne","Zorko","CD_T20",NA,81,2,1,NA,18,6,24,5,0,5,9,15,24,5,1,0,0,2,75,2,2,2,110,0,0,50,20.5,NA,"2018-01-23T22:37:00.512+0000",4,2,0,4,NA,NA,NA,12,554,1,4,5,13,72.2,3,18,1,0,37.5,0,0,0,5,0,1,31,17,1,0,0,0,0,0,0,0,NA,NA,NA,"CD_I261224",FALSE,15,"Dayne","Zorko","home",NA,"Brisbane Lions",2016-04-02,2016,201602,"Dayne Zorko"
"CD_M20160140203","2016-04-02T05:35:00.000+0000","CONCLUDED","Premiership","Round 2",2,"Gabba","Brisbane Lions","Brisbane Lions","North Melbourne","North Melbourne",31,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2016014/996059.png?im=Scale,width=0.6,height=0.6","CHB","CD_I996059",FALSE,31,"Harris","Andrews","CD_T20",NA,92,0,0,NA,9,4,13,8,0,0,3,10,13,2,0,1,0,7,61.5,2,1,1,57,1,0,0,5.6,NA,"2018-01-23T22:37:00.512+0000",4,7,0,0,NA,NA,NA,3,173,0,0,0,6,66.7,2.3,8,1,5,23.1,0,0,0,1,0,1,9,8,6,0,2,0,0,0,0,0,NA,NA,NA,"CD_I996059",FALSE,31,"Harris","Andrews","home",NA,"Brisbane Lions",2016-04-02,2016,201602,"Harris Andrews"
"CD_M20160140206","2016-04-02T08:25:00.000+0000","CONCLUDED","Premiership","Round 2",2,"Marvel Stadium","St Kilda","St Kilda","Western Bulldogs","Western Bulldogs",20,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2016014/993834.png?im=Scale,width=0.6,height=0.6","INT","CD_I993834",FALSE,20,"Josh","Dunkley","CD_T140",NA,76,0,0,NA,3,9,12,5,0,2,1,11,12,1,1,0,0,1,75,2,0,0,50,0,0,0,2.1,NA,"2018-01-23T22:37:12.961+0000",2,1,1,1,NA,NA,NA,3,58,0,0,0,1,33.3,0.3,9,1,0,8.3,0,0,0,1,0,0,11,3,1,0,0,0,0,1,0,0,NA,NA,NA,"CD_I993834",FALSE,20,"Josh","Dunkley","away",NA,"Western Bulldogs",2016-04-02,2016,201602,"Josh Dunkley"
