"providerId","utcStartTime","status","compSeason.shortName","round.name","round.roundNumber","venue.name","home.team.name","home.team.club.name","away.team.name","away.team.club.name","player.jumperNumber","player.photoURL","player.player.position","player.player.player.playerId","player.player.player.captain","player.player.player.playerJumperNumber","player.player.player.givenName","player.player.player.surname","teamId","gamesPlayed","timeOnGroundPercentage","goals","behinds","superGoals","kicks","handballs","disposals","marks","bounces","tackles","contestedPossessions","uncontestedPossessions","totalPossessions","inside50s","marksInside50","contestedMarks","hitouts","onePercenters","disposalEfficiency","clangers","freesFor","freesAgainst","dreamTeamPoints","rebound50s","goalAssists","goalAccuracy","ratingPoints","ranking","lastUpdated","turnovers","intercepts","tacklesInside50","shotsAtGoal","goalEfficiency","shotEfficiency","interchangeCounts","scoreInvolvements","metresGained","clearances.centreClearances","clearances.stoppageClearances","clearances.totalClearances","extendedStats.effectiveKicks","extendedStats.kickEfficiency","extendedStats.kickToHandballRatio","extendedStats.effectiveDisposals","extendedStats.marksOnLead","extendedStats.interceptMarks","extendedStats.contestedPossessionRate","extendedStats.hitoutsToAdvantage","extendedStats.hitoutWinPercentage","extendedStats.hitoutToAdvantageRate","extendedStats.groundBallGets","extendedStats.f50GroundBallGets","extendedStats.scoreLaunches","extendedStats.pressureActs","extendedStats.defHalfPressureActs","extendedStats.spoils","extendedStats.ruckContests","extendedStats.contestDefOneOnOnes","extendedStats.contestDefLosses","extendedStats.contestDefLossPercentage","extendedStats.contestOffOneOnOnes","extendedStats.contestOffWins","extendedStats.contestOffWinsPercentage","extendedStats.centreBounceAttendances","extendedStats.kickins","extendedStats.kickinsPlayon","player.playerId","player.captain","player.playerJumperNumber","player.givenName","player.surname","teamStatus","team.name","match_date","match_year","match_year_round","player.fullName"
"CD_M20250140601","2025-04-17T09:30:00.000+0000","CONCLUDED","Premiership","Round 6",6,"Gabba","Brisbane Lions","Brisbane Lions","Collingwood","Collingwood",4,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/298437.png?im=Scale,width=0.6,height=0.6","FPR","CD_I298437",FALSE,4,"Callum","Ah Chee","CD_T20",NA,66,0,2,NA,2,4,6,3,0,0,2,5,7,0,2,0,0,2,66.7,0,0,0,25,0,0,0,0.7,NA,NA,0,2,0,2,NA,NA,NA,4,29,0,0,0,0,0,0.5,4,0,1,28.6,0,0,0,2,1,0,8,2,2,0,0,0,0,0,0,0,0,0,0,"CD_I298437",FALSE,4,"Callum","Ah Chee","home","Brisbane Lions",2025-04-17,2025,202506,"Callum Ah Chee"
"CD_M20250140601","2025-04-17T09:30:00.000+0000","CONCLUDED","Premiership","Round 6",6,"Gabba","Brisbane Lions","Brisbane Lions","Collingwood","Collingwood",31,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/996059.png?im=Scale,width=0.6,height=0.6","CHB","CD_I996059",FALSE,31,"Harris","Andrews","CD_T20",NA,96,0,0,NA,12,2,14,10,0,2,4,10,14,1,0,3,0,9,92.9,3,0,3,69,2,0,0,11.1,NA,NA,0,4,0,0,NA,NA,NA,3,235,0,0,0,12,100,6,13,0,3,28.6,0,0,0,1,0,1,6,6,9,0,4,1,25,0,0,0,0,0,0,"CD_I996059",FALSE,31,"Harris","Andrews","home","Brisbane Lions",2025-04-17,2025,202506,"Harris Andrews"
"CD_M20250140601","2025-04-17T09:30:00.000+0000","CONCLUDED","Premiership","Round 6",6,"Gabba","Brisbane Lions","Brisbane Lions","Collingwood","Collingwood",43,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1005053.png?im=Scale,width=0.6,height=0.6","HBFL","CD_I1005053",FALSE,43,"Noah","Answerth","CD_T20",NA,90,0,0,NA,13,0,13,7,0,1,2,11,13,1,0,0,0,5,100,0,1,0,65,1,1,0,11,NA,NA,0,2,0,0,NA,NA,NA,3,222,0,0,0,13,100,13,13,0,0,15.4,0,0,0,1,0,0,10,8,3,0,1,0,0,0,0,0,0,0,0,"CD_I1005053",FALSE,43,"Noah","Answerth","home","Brisbane Lions",2025-04-17,2025,202506,"Noah Answerth"
"CD_M20250140601","2025-04-17T09:30:00.000+0000","CONCLUDED","Premiership","Round 6",6,"Gabba","Brisbane Lions","Brisbane Lions","Collingwood","Collingwood",10,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1028560.png?im=Scale,width=0.6,height=0.6","INT","CD_I1028560",FALSE,10,"Levi","Ashcroft","CD_T20",NA,71,0,0,NA,10,9,19,5,0,0,4,15,19,2,0,0,0,1,84.2,1,0,0,63,0,1,0,6.2,NA,NA,2,0,0,1,NA,NA,NA,7,127,0,2,2,8,80,1.1,16,1,0,21.1,0,0,0,3,1,0,5,4,1,0,0,0,0,0,0,0,0,0,0,"CD_I1028560",FALSE,10,"Levi","Ashcroft","home","Brisbane Lions",2025-04-17,2025,202506,"Levi Ashcroft"
"CD_M20250140601","2025-04-17T09:30:00.000+0000","CONCLUDED","Premiership","Round 6",6,"Gabba","Brisbane Lions","Brisbane Lions","Collingwood","Collingwood",8,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1023517.png?im=Scale,width=0.6,height=0.6","WL","CD_I1023517",FALSE,8,"Will","Ashcroft","CD_T20",NA,75,0,0,NA,5,8,13,1,0,2,4,9,13,1,0,0,0,0,69.2,3,2,1,41,1,0,0,2,NA,NA,1,0,1,0,NA,NA,NA,4,79,1,1,2,3,60,0.6,9,0,0,30.8,0,0,0,3,0,1,17,8,0,0,0,0,0,0,0,0,12,0,0,"CD_I1023517",FALSE,8,"Will","Ashcroft","home","Brisbane Lions",2025-04-17,2025,202506,"Will Ashcroft"
"CD_M20250140601","2025-04-17T09:30:00.000+0000","CONCLUDED","Premiership","Round 6",6,"Gabba","Brisbane Lions","Brisbane Lions","Collingwood","Collingwood",33,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1002312.png?im=Scale,width=0.6,height=0.6","C","CD_I1002312",FALSE,33,"Zac","Bailey","CD_T20",NA,89,0,1,NA,7,3,10,2,0,2,4,7,11,2,0,0,0,0,70,7,1,3,34,0,2,0,1,NA,NA,2,2,1,1,NA,NA,NA,7,262,1,1,2,4,57.1,2.3,7,0,0,36.4,0,0,0,4,1,2,10,1,0,0,0,0,0,0,0,0,0,0,0,"CD_I1002312",FALSE,33,"Zac","Bailey","home","Brisbane Lions",2025-04-17,2025,202506,"Zac Bailey"
"CD_M20250140601","2025-04-17T09:30:00.000+0000","CONCLUDED","Premiership","Round 6",6,"Gabba","Brisbane Lions","Brisbane Lions","Collingwood","Collingwood",7,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/998133.png?im=Scale,width=0.6,height=0.6","WR","CD_I998133",FALSE,7,"Jarrod","Berry","CD_T20",NA,80,0,1,NA,11,7,18,5,0,5,6,12,18,1,1,1,0,2,66.7,4,2,2,79,4,0,0,6,NA,NA,2,1,1,1,NA,NA,NA,6,233,1,2,3,6,54.5,1.6,12,0,1,33.3,0,0,0,3,0,2,20,10,2,0,0,0,0,0,0,0,2,0,0,"CD_I998133",FALSE,7,"Jarrod","Berry","home","Brisbane Lions",2025-04-17,2025,202506,"Jarrod Berry"
"CD_M20250140601","2025-04-17T09:30:00.000+0000","CONCLUDED","Premiership","Round 6",6,"Gabba","Brisbane Lions","Brisbane Lions","Collingwood","Collingwood",23,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/990609.png?im=Scale,width=0.6,height=0.6","HFFL","CD_I990609",FALSE,23,"Charlie","Cameron","CD_T20",NA,84,0,1,NA,9,1,10,7,0,1,4,7,11,3,1,1,0,0,50,4,0,1,52,0,1,0,4,NA,NA,3,1,0,2,NA,NA,NA,3,217,0,0,0,4,44.4,9,5,0,0,36.4,0,0,0,3,2,0,11,1,0,0,0,0,0,1,1,100,0,0,0,"CD_I990609",FALSE,23,"Charlie","Cameron","home","Brisbane Lions",2025-04-17,2025,202506,"Charlie Cameron"
"CD_M20250140601","2025-04-17T09:30:00.000+0000","CONCLUDED","Premiership","Round 6",6,"Gabba","Brisbane Lions","Brisbane Lions","Collingwood","Collingwood",14,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/291753.png?im=Scale,width=0.6,height=0.6","INT","CD_I291753",FALSE,14,"Sam","Day","CD_T20",NA,72,1,0,NA,10,4,14,8,0,0,5,8,13,2,1,1,1,0,78.6,3,2,3,62,0,0,100,3.3,NA,NA,3,0,0,1,NA,NA,NA,3,129,0,0,0,7,70,2.5,11,2,0,38.5,0,9.1,0,1,1,0,4,1,0,11,0,0,0,0,0,0,6,0,0,"CD_I291753",FALSE,14,"Sam","Day","home","Brisbane Lions",2025-04-17,2025,202506,"Sam Day"
"CD_M20250140601","2025-04-17T09:30:00.000+0000","CONCLUDED","Premiership","Round 6",6,"Gabba","Brisbane Lions","Brisbane Lions","Collingwood","Collingwood",5,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/993834.png?im=Scale,width=0.6,height=0.6","RR","CD_I993834",FALSE,5,"Josh","Dunkley","CD_T20",NA,81,0,0,NA,14,7,21,8,0,4,4,14,18,2,0,1,0,1,66.7,3,1,0,97,1,0,0,8,NA,NA,2,0,0,0,NA,NA,NA,5,258,1,3,4,7,50,2,14,1,0,22.2,0,0,0,3,1,1,17,8,1,0,0,0,0,0,0,0,20,0,0,"CD_I993834",FALSE,5,"Josh","Dunkley","home","Brisbane Lions",2025-04-17,2025,202506,"Josh Dunkley"
